,Open,Volume,Market Cap,Close
1061,-0.3591262420070866,-0.28681192529649085,-0.34911670600483885,-0.36261921835030725
1062,-0.3599462841414421,-0.28827388392835146,-0.3498334462159979,-0.36220410784120466
1063,-0.3600959247103836,-0.29063214961687567,-0.3499406714391399,-0.36122201712454743
1064,-0.3598865836775589,-0.2928205460204786,-0.34971837201789413,-0.36121189247798385
1065,-0.3593102848676315,-0.2953544224865227,-0.34916177066185416,-0.3610296488398413
1066,-0.3590110842971761,-0.2943058386892159,-0.34885878970777146,-0.3601555543531944
1067,-0.3589065883435237,-0.2919385947050349,-0.3487308102900718,-0.3603647970488396
1068,-0.35828399011851103,-0.29104046626478064,-0.34812822771312474,-0.3605875392732361
1069,-0.35808402176310206,-0.2908094976567075,-0.3479126582618806,-0.36139751099831435
1070,-0.358108084568158,-0.2896528613688786,-0.34790363289708914,-0.3617147499239699
1071,-0.35848328707868954,-0.29157690938165576,-0.3482152949067448,-0.3609891502535874
